validation_scheme,metric,estimate,lower,upper,confidence,resamples
random_stratified_holdout,roc_auc,0.7385015439622948,0.6196895823175687,0.8464651389566065,0.95,1000
random_stratified_holdout,pr_auc,0.24427318474649615,0.1298691090587395,0.43331188504178875,0.95,1000
random_stratified_holdout,brier_score,0.058957141777474,0.05333727394483087,0.06444149754640059,0.95,1000
random_stratified_holdout,balanced_accuracy,0.664635137331383,0.555824394604258,0.7718186250609459,0.95,1000
random_stratified_holdout,precision,0.16176470588235295,0.1016949152542373,0.22813765182186227,0.95,1000
random_stratified_holdout,recall,0.5238095238095238,0.3333333333333333,0.7142857142857143,0.95,1000
chronological_holdout,roc_auc,0.6159635571400277,0.4801792434145376,0.7601604278074866,0.95,1000
chronological_holdout,pr_auc,0.08737444626521616,0.060972778696684285,0.1695200306389594,0.95,1000
chronological_holdout,brier_score,0.053206677392469724,0.05047610032235757,0.05562422114591082,0.95,1000
chronological_holdout,balanced_accuracy,0.49158249158249157,0.4831649831649832,0.4983164983164983,0.95,1000
chronological_holdout,precision,0.0,0.0,0.0,0.95,1000
chronological_holdout,recall,0.0,0.0,0.0,0.95,1000
