validation_scheme,threshold,roc_auc,pr_auc,brier_score,balanced_accuracy,precision,recall,true_negative,false_positive,false_negative,true_positive,review_rate
Random stratified,0.15000000000000002,0.7385015439622948,0.24427318474649615,0.058957141777474,0.664635137331383,0.16176470588235295,0.5238095238095238,236,57,10,11,0.21656050955414013
Chronological,0.24000000000000002,0.6159635571400277,0.08737444626521616,0.053206677392469724,0.49158249158249157,0.0,0.0,292,5,17,0,0.01592356687898089
