calibration,roc_auc,pr_auc,brier_score,log_loss,quantile_ece_5_bins
isotonic,0.773037542662116,0.26882618871624936,0.056652972231504006,0.31168227649781094,0.009108563849581995
sigmoid,0.7682431334308467,0.23663603935158944,0.05799043742891557,0.21864234878346528,0.02768139539826489
uncalibrated,0.7385015439622948,0.24427318474649615,0.058957141777474,0.22813870774154243,0.033308752199193076
