feature,permutation_importance_mean,permutation_importance_std
sensor_059,0.058227506768046305,0.00798963020788319
sensor_431,0.014606987300453409,0.0042916340751930175
sensor_247,0.008907587873267314,0.01090909729626706
sensor_519,0.008358874822006748,0.009425481455018233
sensor_014,0.007698185638316969,0.008567877058340456
sensor_121,0.007548514325782564,0.006618760399330607
sensor_021,0.007334752711453609,0.009082457153761051
sensor_210,0.00722094964097746,0.003310728464665385
sensor_434,0.007114282153005229,0.003552878935068655
sensor_124,0.00633685951654589,0.004453144448805738
sensor_079,0.006335374479110155,0.0026813368451455693
sensor_183,0.004910085922069272,0.00170067218882618
sensor_028,0.0048109188607134605,0.0050812244703710655
sensor_452,0.004395032203004319,0.005014537058645654
sensor_026,0.003367637588234098,0.0025279912765289914
sensor_557,0.0032267258838193833,0.0015546525239902688
sensor_295,0.0030276366339936724,0.003511387988213073
sensor_551,0.0028833783963534143,0.00030260580858247214
sensor_554,0.0027301230349439285,0.0004292687728799337
sensor_319,0.0021003327969070507,0.0056043793843224285
sensor_348,0.0020271807658258554,0.002174941169317599
sensor_469,0.0017582391852071593,0.005200216941203816
sensor_316,0.0016498756850315728,0.000278912046900496
sensor_070,0.001633745583581564,0.00877153459708092
sensor_123,0.001274538158019543,0.00290947373042283
sensor_099,0.0006700555748117102,0.001790790123397687
sensor_227,0.0004211760693689781,0.0038916418500901445
sensor_435,0.00023690513849062658,0.004337581881876184
sensor_056,0.00021370986299965034,0.004100104215505066
sensor_104,0.0001443900495386822,0.0012121011525707368
