model,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_recall_mean,cv_recall_std,cv_precision_mean,cv_precision_std
random_forest_missing_indicator,0.7027510683760683,0.0394957571114395,0.17840476093669003,0.08702281450566184,0.502727501256913,0.009399911239199614,0.0058823529411764705,0.018601633295108114,0.1,0.31622776601683794
random_forest,0.7071361236802413,0.03968002777435139,0.1776050050343215,0.08073373252452153,0.5091911764705882,0.020887329104239353,0.01838235294117647,0.041774658208478706,0.2,0.42163702135578396
logistic_selected,0.6701671694318754,0.0482103771675057,0.16135046236857795,0.04014318561437539,0.6152086475615887,0.03938665067572742,0.47058823529411764,0.07276976882011531,0.12306834906186423,0.0205876470919803
hist_gradient_boosting,0.6671285822021117,0.03554000842540427,0.1590451628716447,0.06354867218951263,0.5364394796380091,0.04444177443244876,0.0959558823529412,0.08445130276915756,0.22686507936507935,0.2178606404502025
logistic_pca,0.626535005027652,0.0527899208952664,0.12358624539013925,0.034789620513151,0.5707516339869281,0.06070295663464959,0.4470588235294118,0.1179301129229739,0.093962125649203,0.02468827491999114
