run_id,sensor_556,sensor_550,sensor_285,sensor_542,sensor_553,sensor_345,sensor_021,sensor_014,sensor_030,sensor_025,sensor_029,sensor_150,sensor_059,sensor_549,sensor_543
0,0.013374094940606611,6.0249228031916085e-06,0.00018681315671321028,0.0002950978438942769,0.009136464192720982,0.03230457746437238,0.0011880871442675525,0.02553197436382102,0.034700303467022596,0.005723459280873496,0.018795067331487895,0.019499233830933296,0.031937396137754655,0.0011562155114027653,0.00015944215372815305
1,0.0003126120622543001,0.0008909203740980473,0.008862020016417,3.26746456250602e-05,0.000620258535033691,0.009647378423215718,0.005658776613256474,0.11377598542147067,0.11317857777590755,0.012138215418058039,0.08934372536473417,0.039267831652869706,0.007498038493163335,0.0009060143689187212,0.0011239251178565576
2,5.818556958722675e-06,0.0004732377330067464,0.06452901273596459,0.004464356060079614,0.004424367176160533,0.39883272127364533,0.013399451092130473,0.24746332033866963,0.11308485269406345,0.025442762909743254,0.04600477243779965,0.06303077588885424,0.43876202120756563,0.0030297031539617716,0.0008321835480344143
3,0.36435512184952196,0.008919369676365347,0.0018888423444303106,0.0002879984836004136,0.24477152065193103,0.02127219002057949,0.0006360714792580772,0.01856690654686677,1.8823443093251068e-05,0.0005592848176373058,0.001398132744482773,0.004367056107934369,0.021707334207827035,0.001469715041495703,1.7107491321732323e-05
4,0.009207602510597221,0.011813430362091927,0.09404332927810337,0.008328992028626664,0.08142941562765192,0.7542373392694459,0.0017517139906439482,0.00955441907033232,0.07844068535027317,0.02854135993988917,0.007549681412226694,0.017860055214376187,0.8155796878004672,0.010656827804159795,0.00034643691605275236
5,0.0018133181117085165,0.0002821489602676786,0.04259202794954141,0.016022814991304955,0.0013195036557940793,1.2720901016234856,0.029906328329730864,0.01568544401144632,0.08735928940105105,0.0006756542883697023,0.29578904216252033,0.0003446865468398989,1.4238766609929616,0.02042343312517377,0.0028291539483682212
6,0.027045105352700348,0.01247945811700864,0.00014751648889552556,0.00034529890029591026,0.0674257129748793,0.0418891240666542,0.02512372566143143,0.042802308187041484,0.2067058661793954,0.02391055527829604,0.17286083222295595,0.03605002048520312,0.042322993287581843,0.0004120135560164522,5.282581683965733e-05
7,0.0052880563182975855,0.005879478570979868,0.11803257241657437,0.006092571608493279,0.06599076914521566,0.6069819102729825,0.0085977688103884,1.2034727906554494,0.04102752157964555,0.01865928885284773,0.0002768589722542033,0.3089356047545302,0.627537781109859,0.023621567997743616,0.0029072644124936483
8,0.0017551894625619118,0.0009601152681250522,0.16898310284549678,0.006850521672251235,0.0014841980065501761,0.49966517211472866,0.0009479509254862764,0.8675365971319423,0.03850790666218038,0.00011322843031630435,0.09996721718622269,0.2398777265507038,0.5845400330639995,0.0021503559752779223,0.006855873113599224
9,0.009169029937794072,1.3571343457260273e-05,0.11082272496892988,0.007994813910618037,0.03150943140410317,0.6695148997692353,0.014607949763183166,0.028583003499568792,0.017229848771103687,0.002313479361844626,0.10654758733570115,0.16170113157579202,0.7303447343677958,0.013138923024149417,0.0006523331090257758
10,0.00021805174446673842,0.0022513218374510015,0.0023502859476076192,0.0044283705664781865,0.0120848735082636,0.36345356019132874,0.00010601184470744684,0.08995761851175299,0.00027294473556136584,0.003346209103711261,0.010368133170528761,0.14228204880500553,0.41175685902457976,0.003678809384303059,0.0007584725585531908
